model_name,feature,mean_abs_shap,mean_shap,target
model5_xgb,num__gdelt_protest_28d_lag,0.6902826,-0.082130596,protest_7d
model5_xgb,num__gdelt_strike_28d_lag,0.16639917,-0.02968216,protest_7d
model5_xgb,num__gdelt_protest_7d_lag,0.15089501,-0.00081611896,protest_7d
model5_xgb,num__government_effectiveness_est,0.111801445,-0.010870306,protest_7d
model5_xgb,num__political_stability_est,0.08981371,0.00023898459,protest_7d
model5_xgb,num__energy_cpi_inflation,0.08054074,0.065699585,protest_7d
model5_xgb,num__gini_coef,0.08016864,-0.017602425,protest_7d
model5_xgb,num__rule_of_law_est,0.07442573,0.007404786,protest_7d
model5_xgb,num__fao_food_index_yoy,0.07224184,-0.07145202,protest_7d
model5_xgb,num__gdp_per_capita_growth,0.06650963,-0.062632404,protest_7d
model5_xgb,num__gdelt_strike_7d_lag,0.059956737,-0.010647234,protest_7d
model5_xgb,num__fx_vol_30d,0.0368774,0.0048119915,protest_7d
model5_xgb,num__gold_vol_30d,0.033307776,0.028586168,protest_7d
model5_xgb,num__inflation_cpi_yoy,0.0324974,0.009910481,protest_7d
model5_xgb,num__fao_cereals_index_yoy,0.031539615,-0.030499158,protest_7d
model5_xgb,num__voice_accountability_est,0.024988897,-0.011196801,protest_7d
model5_xgb,num__gold_pct_30d_x_gold_prod,0.024534274,0.0035497346,protest_7d
model5_xgb,num__unemployment_rate,0.023174863,0.009600916,protest_7d
model5_xgb,num__gta_90d_count,0.022417013,-0.0029443905,protest_7d
model5_xgb,num__gta_harmful_events_z,0.020364005,0.005612367,protest_7d
model5_xgb,num__unemployment_youth,0.020344578,0.010547188,protest_7d
model5_xgb,num__dxy_level,0.019581273,-0.011464594,protest_7d
model5_xgb,fe__country_iso3_MYS,0.018788956,-0.0018701858,protest_7d
model5_xgb,num__fao_cereals_yoy_x_instability,0.018729346,-0.014576264,protest_7d
model5_xgb,num__unemployment_total,0.01832781,0.0073233065,protest_7d
model5_xgb,num__dxy_vol_30d,0.017054494,0.0060632853,protest_7d
model5_xgb,num__vix_level,0.015903054,-0.005106379,protest_7d
model5_xgb,num__oil_brent_pct_30d_lag60d,0.015307754,-0.0039907657,protest_7d
model5_xgb,num__food_cpi_inflation_z,0.014629904,0.0016664063,protest_7d
model5_xgb,num__gdp_growth,0.014075916,-0.008531781,protest_7d
model5_xgb,num__dxy_pct_30d,0.013765459,0.00072681153,protest_7d
model5_xgb,num__month_cos,0.01323258,-0.0005106906,protest_7d
model5_xgb,num__gta_30d_count,0.012454105,-0.00022332225,protest_7d
model5_xgb,num__unemployment_rate_z,0.011783015,0.0016780193,protest_7d
model5_xgb,fe__country_iso3_NAM,0.011160703,-0.0010046827,protest_7d
model5_xgb,num__fao_food_index_yoy_lag1m,0.0108260615,0.0030052757,protest_7d
model5_xgb,num__silver_pct_30d,0.010717003,-0.0038208654,protest_7d
model5_xgb,num__gdelt_protest_region_14d,0.0105597135,0.005662502,protest_7d
model5_xgb,num__unemployment_sa,0.0103248,0.0043591275,protest_7d
model5_xgb,fe__country_iso3_MOZ,0.01029973,-0.0044078073,protest_7d
model5_xgb,num__food_cpi_inflation,0.00960165,0.0005699083,protest_7d
model5_xgb,num__yield_us10y,0.009578522,0.007393563,protest_7d
model5_xgb,num__energy_cpi_inflation_z,0.008442759,-0.0030903062,protest_7d
model5_xgb,num__gdelt_strike_region_14d,0.008138764,0.0040567783,protest_7d
model5_xgb,fe__country_iso3_PHL,0.007876853,-0.0007940279,protest_7d
model5_xgb,num__vix_pct_30d_lag60d,0.007769633,-0.0014727681,protest_7d
model5_xgb,num__copper_pct_90d,0.007659643,0.003575285,protest_7d
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.0070364,-0.00029198453,protest_7d
model5_xgb,num__copper_pct_30d,0.006847601,0.0010923474,protest_7d
model5_xgb,num__fx_pct_30d_x_instability,0.0062218467,-0.0025804124,protest_7d
model5_xgb,fe__country_iso3_PRT,0.005820851,-0.00024697746,protest_7d
model5_xgb,num__fx_vol_30d_z,0.005368757,0.0003950008,protest_7d
model5_xgb,num__vix_pct_30d,0.00511954,0.0006997286,protest_7d
model5_xgb,num__fx_pct_30d_lag60d,0.0049290108,-0.0016485868,protest_7d
model5_xgb,num__gta_90d_count_z,0.0045705056,0.0010892657,protest_7d
model5_xgb,num__gta_30d_count_z,0.004559355,-0.0015438877,protest_7d
model5_xgb,num__gta_liberalising_events_z,0.00455457,0.00068890466,protest_7d
model5_xgb,num__vix_pct_30d_lag30d,0.004133324,0.00012827509,protest_7d
model5_xgb,num__oil_brent_pct_30d_lag30d,0.004115412,4.8247748e-05,protest_7d
model5_xgb,num__natgas_pct_30d,0.004096292,-0.0007200766,protest_7d
model5_xgb,fe__country_iso3_DEU,0.00408837,0.0005571918,protest_7d
model5_xgb,num__platinum_pct_30d,0.004081521,0.00067411567,protest_7d
model5_xgb,num__oil_brent_pct_30d_lag90d,0.00405116,0.001111052,protest_7d
model5_xgb,num__fx_vol_7d,0.0038152193,-0.00036768953,protest_7d
model5_xgb,num__fx_pct_30d,0.0036090869,0.00038761317,protest_7d
model5_xgb,num__oil_brent_pct_14d,0.0033117796,0.0006716777,protest_7d
model5_xgb,num__vix_7d_ma,0.0028094875,-7.553391e-05,protest_7d
model5_xgb,fe__country_iso3_PER,0.0028056107,-0.0005359264,protest_7d
model5_xgb,num__fx_pct_30d_z,0.0027178172,-0.0005737967,protest_7d
model5_xgb,num__fx_pct_90d,0.002491422,-0.0012327412,protest_7d
model5_xgb,num__oil_brent_pct_30d_x_net_importer,0.0023390364,3.6446618e-05,protest_7d
model5_xgb,num__oil_brent_pct_30d_x_inflation,0.0021533072,0.0013930271,protest_7d
model5_xgb,num__fx_pct_30d_lag30d,0.0021411115,-0.00015673033,protest_7d
model5_xgb,num__gold_pct_30d,0.0020366716,-2.055025e-05,protest_7d
model5_xgb,fe__country_iso3_CHL,0.0019746986,-0.000114977855,protest_7d
model5_xgb,num__fao_oils_index_yoy,0.0019735936,0.00026396755,protest_7d
model5_xgb,num__fx_trend_consistent,0.001972206,-0.0004938209,protest_7d
model5_xgb,num__month_sin,0.0019215322,-0.00034276058,protest_7d
model5_xgb,fe__country_iso3_GRC,0.0019099012,0.00048323965,protest_7d
model5_xgb,num__copper_pct_30d_x_copper_prod,0.0018597721,0.00060444616,protest_7d
model5_xgb,fe__country_iso3_KOR,0.0017474176,0.00083638565,protest_7d
model5_xgb,fe__country_iso3_FRA,0.0017205868,0.00015821567,protest_7d
model5_xgb,fe__country_iso3_VNM,0.0016723388,0.0003137078,protest_7d
model5_xgb,fe__country_iso3_IRL,0.0014783384,0.00033485316,protest_7d
model5_xgb,num__fx_pct_7d,0.0014169101,-0.00034198564,protest_7d
model5_xgb,fe__country_iso3_HUN,0.0013598586,-2.9971277e-05,protest_7d
model5_xgb,num__oil_brent_pct_30d,0.0012712053,0.00024307516,protest_7d
model5_xgb,fe__country_iso3_ZWE,0.0012698668,-0.0002134112,protest_7d
model5_xgb,num__fao_oils_index_yoy_lag3m,0.0012611129,0.0012594418,protest_7d
model5_xgb,num__fao_cereals_index_yoy_lag6m,0.001112899,0.0008029946,protest_7d
model5_xgb,fe__country_iso3_CAN,0.001091726,0.0005174805,protest_7d
model5_xgb,fe__country_iso3_ZAF,0.0010868628,0.0002275702,protest_7d
model5_xgb,num__copper_vol_30d,0.0010752465,0.00038168035,protest_7d
model5_xgb,num__inflation_cpi_yoy_z,0.0010173233,-0.0008225684,protest_7d
model5_xgb,num__fao_food_index_yoy_lag6m,0.00096972985,0.00033064833,protest_7d
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.00094657135,-0.00013145867,protest_7d
model5_xgb,num__oil_brent_pct_30d_z,0.00091788033,0.00012500057,protest_7d
model5_xgb,num__fao_cereals_index_yoy_lag3m,0.00073590584,0.00047799858,protest_7d
model5_xgb,num__fao_oils_index_yoy_lag6m,0.00068605976,-0.00018401527,protest_7d
model5_xgb,num__fao_food_index_yoy_lag3m,0.0005446468,-0.00028530628,protest_7d
model5_xgb,fe__country_iso3_MEX,0.0005410619,0.0003859698,protest_7d
model5_xgb,num__fao_oils_index_yoy_lag1m,0.0005225777,0.0005192221,protest_7d
model5_xgb,fe__country_iso3_POL,0.00048151563,-5.4115528e-05,protest_7d
model5_xgb,fe__country_iso3_ITA,0.00028505738,-0.00011115013,protest_7d
model5_xgb,fe__country_iso3_BRA,0.0002803378,6.0208688e-05,protest_7d
model5_xgb,fe__country_iso3_THA,0.00027843105,3.4764344e-05,protest_7d
model5_xgb,fe__country_iso3_ESP,0.00019987987,4.137175e-05,protest_7d
model5_xgb,fe__country_iso3_NLD,0.00014264268,-2.6404741e-06,protest_7d
model5_xgb,num__platinum_pct_30d_x_plat_prod,0.00012342373,-0.00010992172,protest_7d
model5_xgb,fe__country_iso3_AUS,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_BOL,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_CHN,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_GBR,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_IDN,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_IND,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_JPN,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_KEN,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_LAO,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_MAR,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_NOR,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_SWE,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_TUR,0.0,0.0,protest_7d
model5_xgb,fe__country_iso3_USA,0.0,0.0,protest_7d
model5_xgb,num__covid_period,0.0,0.0,protest_7d
model5_xgb,num__fao_cereals_index_yoy_above90,0.0,0.0,protest_7d
model5_xgb,num__fao_food_index_yoy_above90,0.0,0.0,protest_7d
model5_xgb,num__gta_harmful_events,0.0,0.0,protest_7d
model5_xgb,num__gta_liberalising_events,0.0,0.0,protest_7d
model5_xgb,num__inflation_accel,0.0,0.0,protest_7d
model5_xgb,num__gdelt_strike_28d_lag,0.5707574,-0.21407765,strike_7d
model5_xgb,num__gdelt_protest_28d_lag,0.3685661,-0.12629786,strike_7d
model5_xgb,num__rule_of_law_est,0.16212834,-0.0061484585,strike_7d
model5_xgb,num__gdelt_strike_7d_lag,0.12701078,-0.05802902,strike_7d
model5_xgb,num__government_effectiveness_est,0.12171808,-0.007200947,strike_7d
model5_xgb,num__unemployment_youth,0.106345385,-0.049161788,strike_7d
model5_xgb,num__voice_accountability_est,0.10473396,-0.011490126,strike_7d
model5_xgb,num__gdelt_protest_7d_lag,0.08429041,-0.009461448,strike_7d
model5_xgb,num__unemployment_total,0.08177836,-0.048297666,strike_7d
model5_xgb,num__gini_coef,0.06512586,-0.02519914,strike_7d
model5_xgb,num__fao_cereals_index_yoy,0.062968455,-0.058866773,strike_7d
model5_xgb,num__inflation_cpi_yoy,0.062651195,-0.02743093,strike_7d
model5_xgb,num__unemployment_rate_z,0.0617335,0.012569689,strike_7d
model5_xgb,num__fx_vol_30d,0.060032345,-0.0057818065,strike_7d
model5_xgb,num__political_stability_est,0.052512255,-0.026130117,strike_7d
model5_xgb,num__gold_pct_30d_x_gold_prod,0.047955077,0.0061445953,strike_7d
model5_xgb,num__unemployment_rate,0.047009394,-0.0023375505,strike_7d
model5_xgb,num__gdelt_strike_region_14d,0.044875175,0.034212567,strike_7d
model5_xgb,num__gdelt_protest_region_14d,0.037992917,0.009632109,strike_7d
model5_xgb,num__energy_cpi_inflation_z,0.03733495,-0.027454931,strike_7d
model5_xgb,num__fx_pct_30d_lag60d,0.034693033,-0.0015065965,strike_7d
model5_xgb,num__yield_us10y,0.031870514,0.025457632,strike_7d
model5_xgb,num__copper_pct_30d_x_copper_prod,0.030115444,-0.0052682436,strike_7d
model5_xgb,num__gdp_per_capita_growth,0.02802369,-0.025427148,strike_7d
model5_xgb,num__fao_food_yoy_x_youth_unemp,0.027831841,-0.016804146,strike_7d
model5_xgb,num__fao_food_index_yoy,0.026386503,-0.016234264,strike_7d
model5_xgb,num__gold_vol_30d,0.025491774,0.01993341,strike_7d
model5_xgb,num__fao_cereals_index_yoy_lag1m,0.024921244,0.024338795,strike_7d
model5_xgb,num__dxy_level,0.023160528,-0.0020082337,strike_7d
model5_xgb,num__gta_90d_count,0.022516154,0.0015371474,strike_7d
model5_xgb,num__gdp_growth,0.021980204,-0.016602669,strike_7d
model5_xgb,num__energy_cpi_inflation,0.021473078,-0.016612235,strike_7d
model5_xgb,num__fao_cereals_yoy_x_instability,0.021038074,-0.00062753283,strike_7d
model5_xgb,num__unemployment_sa,0.02030233,-0.008749793,strike_7d
model5_xgb,fe__country_iso3_GBR,0.019506145,0.010054212,strike_7d
model5_xgb,num__copper_vol_30d,0.019066053,0.015199866,strike_7d
model5_xgb,num__oil_brent_pct_30d_x_net_importer,0.018380372,0.0026196467,strike_7d
model5_xgb,num__platinum_pct_30d,0.018233448,-0.00042928837,strike_7d
model5_xgb,num__fao_oils_index_yoy_lag6m,0.017709458,0.00878571,strike_7d
model5_xgb,fe__country_iso3_IND,0.016873023,0.004261759,strike_7d
model5_xgb,num__fx_vol_7d,0.016415995,-0.003544623,strike_7d
model5_xgb,num__dxy_pct_30d,0.016168533,-0.00013618532,strike_7d
model5_xgb,num__oil_brent_pct_30d_lag60d,0.015952693,0.0012044748,strike_7d
model5_xgb,fe__country_iso3_MAR,0.015759096,-0.0034894333,strike_7d
model5_xgb,fe__country_iso3_MOZ,0.014660765,-0.0053550513,strike_7d
model5_xgb,fe__country_iso3_POL,0.014112543,-0.0056877066,strike_7d
model5_xgb,num__gta_harmful_events_z,0.014013909,0.005570485,strike_7d
model5_xgb,num__natgas_pct_30d,0.013523105,-0.0027094563,strike_7d
model5_xgb,num__food_cpi_inflation,0.013358665,-0.0043766266,strike_7d
model5_xgb,fe__country_iso3_ZAF,0.012987999,-0.00068647915,strike_7d
model5_xgb,num__gta_30d_count,0.011938592,0.0051846188,strike_7d
model5_xgb,num__gta_90d_count_z,0.011897735,-0.001306986,strike_7d
model5_xgb,num__month_sin,0.011390573,-0.00026262066,strike_7d
model5_xgb,num__dxy_vol_30d,0.011241508,-0.00017440168,strike_7d
model5_xgb,num__gta_liberalising_events_z,0.01112616,-0.0014475186,strike_7d
model5_xgb,num__vix_pct_30d,0.011089848,0.0030331947,strike_7d
model5_xgb,num__vix_pct_30d_lag30d,0.010543181,-0.0016452176,strike_7d
model5_xgb,num__vix_pct_30d_lag60d,0.01050762,5.5933924e-05,strike_7d
model5_xgb,num__food_cpi_inflation_z,0.010306011,-0.0035477206,strike_7d
model5_xgb,num__fx_pct_90d,0.009603312,-0.0033485335,strike_7d
model5_xgb,fe__country_iso3_USA,0.009589371,0.0043714987,strike_7d
model5_xgb,num__fao_oils_index_yoy_lag3m,0.009100585,0.009050704,strike_7d
model5_xgb,num__fao_food_index_yoy_lag3m,0.0090936795,-0.008372796,strike_7d
model5_xgb,num__fx_pct_7d,0.008302249,-0.0017236228,strike_7d
model5_xgb,num__fao_cereals_index_yoy_lag3m,0.008011158,-0.003982583,strike_7d
model5_xgb,num__fx_vol_30d_z,0.007815907,-0.00038231717,strike_7d
model5_xgb,num__fx_pct_30d_lag30d,0.0078098243,-0.0020219693,strike_7d
model5_xgb,num__gta_30d_count_z,0.007347988,-0.0029139072,strike_7d
model5_xgb,num__fao_cereals_index_yoy_lag6m,0.0073101292,-0.006316094,strike_7d
model5_xgb,num__copper_pct_90d,0.0066786157,0.0030746132,strike_7d
model5_xgb,num__oil_brent_pct_30d,0.006282742,0.0026070853,strike_7d
model5_xgb,fe__country_iso3_KOR,0.0062372545,-0.0006420177,strike_7d
model5_xgb,fe__country_iso3_BOL,0.0052793263,-0.0025044144,strike_7d
model5_xgb,num__oil_brent_pct_30d_x_inflation,0.0052311225,0.0006526705,strike_7d
model5_xgb,num__oil_brent_pct_30d_lag30d,0.004563009,-0.0012132362,strike_7d
model5_xgb,num__gold_pct_30d,0.0045610075,0.00029973593,strike_7d
model5_xgb,num__vix_level,0.0042830696,0.0039476473,strike_7d
model5_xgb,fe__country_iso3_HUN,0.004180867,-0.0010827766,strike_7d
model5_xgb,num__silver_pct_30d,0.003986886,-0.0008924679,strike_7d
model5_xgb,num__copper_pct_30d,0.003918185,0.0003875022,strike_7d
model5_xgb,num__oil_brent_pct_14d,0.0036460785,3.5380363e-06,strike_7d
model5_xgb,num__vix_7d_ma,0.0036224225,0.0034136,strike_7d
model5_xgb,fe__country_iso3_SWE,0.003505885,-0.00034801927,strike_7d
model5_xgb,num__fao_food_index_yoy_lag1m,0.0034535385,-0.001892957,strike_7d
model5_xgb,fe__country_iso3_PHL,0.0032893082,-0.0009316296,strike_7d
model5_xgb,num__month_cos,0.0032479668,-0.00036329712,strike_7d
model5_xgb,num__fao_oils_index_yoy,0.0028285543,-0.0028285543,strike_7d
model5_xgb,num__fx_pct_30d,0.0026965344,-0.0010187351,strike_7d
model5_xgb,fe__country_iso3_NAM,0.002608541,-0.00066520076,strike_7d
model5_xgb,num__oil_brent_pct_30d_z,0.0025672577,-0.0016040636,strike_7d
model5_xgb,fe__country_iso3_AUS,0.0025052007,0.0006842454,strike_7d
model5_xgb,num__fx_pct_30d_z,0.002307834,-0.00093663327,strike_7d
model5_xgb,num__oil_brent_pct_30d_lag90d,0.0022736131,-5.2050782e-05,strike_7d
model5_xgb,num__fao_oils_index_yoy_lag1m,0.0021757102,-0.0021756885,strike_7d
model5_xgb,fe__country_iso3_CHL,0.0021075397,-0.00106115,strike_7d
model5_xgb,num__fx_pct_30d_x_instability,0.001969946,-4.717853e-05,strike_7d
model5_xgb,num__inflation_cpi_yoy_z,0.0017368844,-0.00070323225,strike_7d
model5_xgb,fe__country_iso3_CHN,0.0012193583,-0.00060107396,strike_7d
model5_xgb,fe__country_iso3_IDN,0.0012066476,-0.0001038482,strike_7d
model5_xgb,fe__country_iso3_JPN,0.0011475865,-0.00010697627,strike_7d
model5_xgb,num__fao_food_index_yoy_lag6m,0.00106125,0.0010610018,strike_7d
model5_xgb,fe__country_iso3_PER,0.0010012869,-0.0005179345,strike_7d
model5_xgb,fe__country_iso3_KEN,0.0007574602,-0.00015379339,strike_7d
model5_xgb,fe__country_iso3_FRA,0.00072113477,0.00036063202,strike_7d
model5_xgb,fe__country_iso3_GRC,0.0006458979,-0.00031491116,strike_7d
model5_xgb,fe__country_iso3_ZWE,0.00057792786,-2.5308707e-05,strike_7d
model5_xgb,num__fx_trend_consistent,0.0004736837,0.00021682677,strike_7d
model5_xgb,num__inflation_accel,0.00041873683,-4.73049e-05,strike_7d
model5_xgb,num__platinum_pct_30d_x_plat_prod,0.00016121828,0.00012746775,strike_7d
model5_xgb,fe__country_iso3_ESP,0.00014963257,-4.975308e-05,strike_7d
model5_xgb,fe__country_iso3_CAN,0.00012127558,-7.343873e-05,strike_7d
model5_xgb,fe__country_iso3_PRT,3.331396e-05,-2.299513e-05,strike_7d
model5_xgb,fe__country_iso3_DEU,3.2932312e-05,4.2967017e-06,strike_7d
model5_xgb,fe__country_iso3_MEX,2.613853e-05,-1.0531054e-05,strike_7d
model5_xgb,fe__country_iso3_BRA,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_IRL,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_ITA,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_LAO,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_MYS,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_NLD,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_NOR,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_THA,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_TUR,0.0,0.0,strike_7d
model5_xgb,fe__country_iso3_VNM,0.0,0.0,strike_7d
model5_xgb,num__covid_period,0.0,0.0,strike_7d
model5_xgb,num__fao_cereals_index_yoy_above90,0.0,0.0,strike_7d
model5_xgb,num__fao_food_index_yoy_above90,0.0,0.0,strike_7d
model5_xgb,num__gta_harmful_events,0.0,0.0,strike_7d
model5_xgb,num__gta_liberalising_events,0.0,0.0,strike_7d
