feature,importance,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.0,1,strike,7,model5_xgb
num__gdelt_protest_28d_lag,0.0,1,strike,7,model5_xgb
num__gdelt_strike_7d_lag,0.1092947,1,strike,7,model5_xgb
num__gdelt_strike_28d_lag,0.034769673,1,strike,7,model5_xgb
num__gdelt_protest_region_14d,0.021075195,1,strike,7,model5_xgb
num__gdelt_strike_region_14d,0.0,1,strike,7,model5_xgb
num__fx_pct_7d,0.0,1,strike,7,model5_xgb
num__fx_pct_30d,0.0,1,strike,7,model5_xgb
num__fx_pct_90d,0.018348016,1,strike,7,model5_xgb
num__fx_vol_7d,0.020416548,1,strike,7,model5_xgb
num__fx_vol_30d,0.025006533,1,strike,7,model5_xgb
num__oil_brent_pct_14d,0.01134899,1,strike,7,model5_xgb
num__oil_brent_pct_30d,0.0,1,strike,7,model5_xgb
num__yield_us10y,0.005302962,1,strike,7,model5_xgb
num__fx_pct_30d_z,0.0,1,strike,7,model5_xgb
num__fx_vol_30d_z,0.119990356,1,strike,7,model5_xgb
num__oil_brent_pct_30d_z,0.0,1,strike,7,model5_xgb
num__copper_pct_30d,0.050849,1,strike,7,model5_xgb
num__copper_pct_90d,0.041321788,1,strike,7,model5_xgb
num__copper_vol_30d,0.029739026,1,strike,7,model5_xgb
num__gold_pct_30d,0.0,1,strike,7,model5_xgb
num__gold_vol_30d,0.0,1,strike,7,model5_xgb
num__platinum_pct_30d,0.0,1,strike,7,model5_xgb
num__silver_pct_30d,0.0,1,strike,7,model5_xgb
num__natgas_pct_30d,0.0018783928,1,strike,7,model5_xgb
num__vix_level,0.0,1,strike,7,model5_xgb
num__vix_pct_30d,0.00025848384,1,strike,7,model5_xgb
num__vix_7d_ma,0.0,1,strike,7,model5_xgb
num__dxy_level,0.032185648,1,strike,7,model5_xgb
num__dxy_pct_30d,0.0,1,strike,7,model5_xgb
num__dxy_vol_30d,0.0,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag30d,0.008626409,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag60d,0.024282858,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag90d,0.0057048732,1,strike,7,model5_xgb
num__vix_pct_30d_lag30d,0.0,1,strike,7,model5_xgb
num__vix_pct_30d_lag60d,0.05294277,1,strike,7,model5_xgb
num__fx_pct_30d_lag30d,0.014923264,1,strike,7,model5_xgb
num__fx_pct_30d_lag60d,0.011684365,1,strike,7,model5_xgb
num__gdp_growth,0.0,1,strike,7,model5_xgb
num__gdp_per_capita_growth,0.0,1,strike,7,model5_xgb
num__inflation_cpi_yoy,0.0,1,strike,7,model5_xgb
num__inflation_cpi_yoy_z,0.0,1,strike,7,model5_xgb
num__unemployment_total,0.0,1,strike,7,model5_xgb
num__unemployment_youth,0.0,1,strike,7,model5_xgb
num__unemployment_sa,0.021348435,1,strike,7,model5_xgb
num__unemployment_rate,0.053246584,1,strike,7,model5_xgb
num__unemployment_rate_z,0.031347014,1,strike,7,model5_xgb
num__political_stability_est,0.0,1,strike,7,model5_xgb
num__voice_accountability_est,0.0,1,strike,7,model5_xgb
num__government_effectiveness_est,0.0,1,strike,7,model5_xgb
num__rule_of_law_est,0.0,1,strike,7,model5_xgb
num__fx_pct_30d_x_instability,0.0,1,strike,7,model5_xgb
num__oil_brent_pct_30d_x_inflation,0.0,1,strike,7,model5_xgb
num__food_cpi_inflation,0.0,1,strike,7,model5_xgb
num__food_cpi_inflation_z,0.044140954,1,strike,7,model5_xgb
num__energy_cpi_inflation,0.0,1,strike,7,model5_xgb
num__energy_cpi_inflation_z,0.03251581,1,strike,7,model5_xgb
num__gini_coef,0.0,1,strike,7,model5_xgb
num__covid_period,0.0,1,strike,7,model5_xgb
num__fx_trend_consistent,0.024943188,1,strike,7,model5_xgb
num__inflation_accel,0.0,1,strike,7,model5_xgb
num__copper_pct_30d_x_copper_prod,0.026113264,1,strike,7,model5_xgb
num__gold_pct_30d_x_gold_prod,0.0,1,strike,7,model5_xgb
num__platinum_pct_30d_x_plat_prod,0.0,1,strike,7,model5_xgb
num__oil_brent_pct_30d_x_net_importer,0.0,1,strike,7,model5_xgb
num__month_sin,0.03444003,1,strike,7,model5_xgb
num__month_cos,0.0,1,strike,7,model5_xgb
num__fao_food_index_yoy,0.0,1,strike,7,model5_xgb
num__fao_cereals_index_yoy,0.0,1,strike,7,model5_xgb
num__fao_oils_index_yoy,0.0,1,strike,7,model5_xgb
num__fao_food_index_yoy_above90,0.0,1,strike,7,model5_xgb
num__fao_cereals_index_yoy_above90,0.0,1,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag1m,0.0,1,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag3m,0.0,1,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag6m,0.0,1,strike,7,model5_xgb
num__fao_food_index_yoy_lag1m,0.0,1,strike,7,model5_xgb
num__fao_food_index_yoy_lag3m,0.0,1,strike,7,model5_xgb
num__fao_food_index_yoy_lag6m,0.0,1,strike,7,model5_xgb
num__fao_oils_index_yoy_lag1m,0.0,1,strike,7,model5_xgb
num__fao_oils_index_yoy_lag3m,0.0,1,strike,7,model5_xgb
num__fao_oils_index_yoy_lag6m,0.04346011,1,strike,7,model5_xgb
num__fao_cereals_yoy_x_instability,0.0,1,strike,7,model5_xgb
num__fao_food_yoy_x_youth_unemp,0.0,1,strike,7,model5_xgb
num__gta_harmful_events,0.0,1,strike,7,model5_xgb
num__gta_harmful_events_z,0.0,1,strike,7,model5_xgb
num__gta_liberalising_events,0.0,1,strike,7,model5_xgb
num__gta_liberalising_events_z,0.029884662,1,strike,7,model5_xgb
num__gta_30d_count,0.0,1,strike,7,model5_xgb
num__gta_30d_count_z,0.0,1,strike,7,model5_xgb
num__gta_90d_count,0.0,1,strike,7,model5_xgb
num__gta_90d_count_z,0.018610157,1,strike,7,model5_xgb
num__fx_pct_7d,0.0,1,strike,7,model6_xgb_nolag
num__fx_pct_30d,0.0,1,strike,7,model6_xgb_nolag
num__fx_pct_90d,0.018368619,1,strike,7,model6_xgb_nolag
num__fx_vol_7d,0.009055971,1,strike,7,model6_xgb_nolag
num__fx_vol_30d,0.008192177,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_14d,0.0,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d,0.0,1,strike,7,model6_xgb_nolag
num__yield_us10y,0.008792973,1,strike,7,model6_xgb_nolag
num__fx_pct_30d_z,0.17219691,1,strike,7,model6_xgb_nolag
num__fx_vol_30d_z,0.09974308,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.02381605,1,strike,7,model6_xgb_nolag
num__copper_pct_30d,0.06266323,1,strike,7,model6_xgb_nolag
num__copper_pct_90d,0.0,1,strike,7,model6_xgb_nolag
num__copper_vol_30d,0.020639988,1,strike,7,model6_xgb_nolag
num__gold_pct_30d,0.02158938,1,strike,7,model6_xgb_nolag
num__gold_vol_30d,0.0,1,strike,7,model6_xgb_nolag
num__platinum_pct_30d,0.024939092,1,strike,7,model6_xgb_nolag
num__silver_pct_30d,0.0,1,strike,7,model6_xgb_nolag
num__natgas_pct_30d,0.02118309,1,strike,7,model6_xgb_nolag
num__vix_level,0.0,1,strike,7,model6_xgb_nolag
num__vix_pct_30d,0.0075847413,1,strike,7,model6_xgb_nolag
num__vix_7d_ma,0.0,1,strike,7,model6_xgb_nolag
num__dxy_level,0.0,1,strike,7,model6_xgb_nolag
num__dxy_pct_30d,0.0,1,strike,7,model6_xgb_nolag
num__dxy_vol_30d,0.0009464043,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag30d,0.0,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag60d,0.017136669,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag90d,0.0,1,strike,7,model6_xgb_nolag
num__vix_pct_30d_lag30d,0.021649951,1,strike,7,model6_xgb_nolag
num__vix_pct_30d_lag60d,0.037632022,1,strike,7,model6_xgb_nolag
num__fx_pct_30d_lag30d,0.0,1,strike,7,model6_xgb_nolag
num__fx_pct_30d_lag60d,0.03373812,1,strike,7,model6_xgb_nolag
num__gdp_growth,0.0,1,strike,7,model6_xgb_nolag
num__gdp_per_capita_growth,0.0,1,strike,7,model6_xgb_nolag
num__inflation_cpi_yoy,0.0,1,strike,7,model6_xgb_nolag
num__inflation_cpi_yoy_z,0.0,1,strike,7,model6_xgb_nolag
num__unemployment_total,0.0,1,strike,7,model6_xgb_nolag
num__unemployment_youth,0.0,1,strike,7,model6_xgb_nolag
num__unemployment_sa,0.0,1,strike,7,model6_xgb_nolag
num__unemployment_rate,0.10017172,1,strike,7,model6_xgb_nolag
num__unemployment_rate_z,0.011937785,1,strike,7,model6_xgb_nolag
num__political_stability_est,0.0,1,strike,7,model6_xgb_nolag
num__voice_accountability_est,0.0,1,strike,7,model6_xgb_nolag
num__government_effectiveness_est,0.0,1,strike,7,model6_xgb_nolag
num__rule_of_law_est,0.0,1,strike,7,model6_xgb_nolag
num__fx_pct_30d_x_instability,0.002638989,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_inflation,0.0,1,strike,7,model6_xgb_nolag
num__food_cpi_inflation,0.036903657,1,strike,7,model6_xgb_nolag
num__food_cpi_inflation_z,0.0022831445,1,strike,7,model6_xgb_nolag
num__energy_cpi_inflation,0.0,1,strike,7,model6_xgb_nolag
num__energy_cpi_inflation_z,0.029604854,1,strike,7,model6_xgb_nolag
num__gini_coef,0.0,1,strike,7,model6_xgb_nolag
num__covid_period,0.0,1,strike,7,model6_xgb_nolag
num__fx_trend_consistent,0.0,1,strike,7,model6_xgb_nolag
num__inflation_accel,0.0,1,strike,7,model6_xgb_nolag
num__copper_pct_30d_x_copper_prod,0.0,1,strike,7,model6_xgb_nolag
num__gold_pct_30d_x_gold_prod,0.0,1,strike,7,model6_xgb_nolag
num__platinum_pct_30d_x_plat_prod,0.0,1,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_net_importer,0.0100783855,1,strike,7,model6_xgb_nolag
num__month_sin,0.040044643,1,strike,7,model6_xgb_nolag
num__month_cos,0.036573075,1,strike,7,model6_xgb_nolag
num__fao_food_index_yoy,0.0,1,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy,0.0,1,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy,0.0,1,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_above90,0.0,1,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_above90,0.0,1,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag1m,0.04741563,1,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag3m,0.01858203,1,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag6m,0.0,1,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag1m,0.0,1,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag3m,0.0,1,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag6m,0.0,1,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag1m,0.0,1,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag3m,0.0,1,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag6m,0.0,1,strike,7,model6_xgb_nolag
num__fao_cereals_yoy_x_instability,0.0,1,strike,7,model6_xgb_nolag
num__fao_food_yoy_x_youth_unemp,0.0,1,strike,7,model6_xgb_nolag
num__gta_harmful_events,0.0,1,strike,7,model6_xgb_nolag
num__gta_harmful_events_z,0.0,1,strike,7,model6_xgb_nolag
num__gta_liberalising_events,0.0,1,strike,7,model6_xgb_nolag
num__gta_liberalising_events_z,0.019909553,1,strike,7,model6_xgb_nolag
num__gta_30d_count,0.0,1,strike,7,model6_xgb_nolag
num__gta_30d_count_z,0.03398808,1,strike,7,model6_xgb_nolag
num__gta_90d_count,0.0,1,strike,7,model6_xgb_nolag
num__gta_90d_count_z,0.0,1,strike,7,model6_xgb_nolag
num__gdelt_protest_7d_lag,0.0,2,strike,7,model5_xgb
num__gdelt_protest_28d_lag,0.0,2,strike,7,model5_xgb
num__gdelt_strike_7d_lag,0.2158778,2,strike,7,model5_xgb
num__gdelt_strike_28d_lag,0.0,2,strike,7,model5_xgb
num__gdelt_protest_region_14d,0.0,2,strike,7,model5_xgb
num__gdelt_strike_region_14d,0.0,2,strike,7,model5_xgb
num__fx_pct_7d,0.0,2,strike,7,model5_xgb
num__fx_pct_30d,0.0,2,strike,7,model5_xgb
num__fx_pct_90d,0.0,2,strike,7,model5_xgb
num__fx_vol_7d,0.0,2,strike,7,model5_xgb
num__fx_vol_30d,0.0,2,strike,7,model5_xgb
num__oil_brent_pct_14d,0.0,2,strike,7,model5_xgb
num__oil_brent_pct_30d,0.0,2,strike,7,model5_xgb
num__yield_us10y,0.009566101,2,strike,7,model5_xgb
num__fx_pct_30d_z,0.0,2,strike,7,model5_xgb
num__fx_vol_30d_z,0.1298139,2,strike,7,model5_xgb
num__oil_brent_pct_30d_z,0.0,2,strike,7,model5_xgb
num__copper_pct_30d,0.0,2,strike,7,model5_xgb
num__copper_pct_90d,0.076056436,2,strike,7,model5_xgb
num__copper_vol_30d,0.0,2,strike,7,model5_xgb
num__gold_pct_30d,0.027778361,2,strike,7,model5_xgb
num__gold_vol_30d,0.0,2,strike,7,model5_xgb
num__platinum_pct_30d,0.0,2,strike,7,model5_xgb
num__silver_pct_30d,0.0,2,strike,7,model5_xgb
num__natgas_pct_30d,0.0,2,strike,7,model5_xgb
num__vix_level,0.0,2,strike,7,model5_xgb
num__vix_pct_30d,0.06405815,2,strike,7,model5_xgb
num__vix_7d_ma,0.013466624,2,strike,7,model5_xgb
num__dxy_level,0.0,2,strike,7,model5_xgb
num__dxy_pct_30d,0.0,2,strike,7,model5_xgb
num__dxy_vol_30d,0.0,2,strike,7,model5_xgb
num__oil_brent_pct_30d_lag30d,0.006872406,2,strike,7,model5_xgb
num__oil_brent_pct_30d_lag60d,0.0730724,2,strike,7,model5_xgb
num__oil_brent_pct_30d_lag90d,0.11339911,2,strike,7,model5_xgb
num__vix_pct_30d_lag30d,0.0,2,strike,7,model5_xgb
num__vix_pct_30d_lag60d,0.0,2,strike,7,model5_xgb
num__fx_pct_30d_lag30d,0.07448297,2,strike,7,model5_xgb
num__fx_pct_30d_lag60d,0.0,2,strike,7,model5_xgb
num__gdp_growth,0.0,2,strike,7,model5_xgb
num__gdp_per_capita_growth,0.0,2,strike,7,model5_xgb
num__inflation_cpi_yoy,0.0,2,strike,7,model5_xgb
num__inflation_cpi_yoy_z,0.0,2,strike,7,model5_xgb
num__unemployment_total,0.0,2,strike,7,model5_xgb
num__unemployment_youth,0.0,2,strike,7,model5_xgb
num__unemployment_sa,0.0,2,strike,7,model5_xgb
num__unemployment_rate,0.0,2,strike,7,model5_xgb
num__unemployment_rate_z,0.05022527,2,strike,7,model5_xgb
num__political_stability_est,0.0,2,strike,7,model5_xgb
num__voice_accountability_est,0.0,2,strike,7,model5_xgb
num__government_effectiveness_est,0.0,2,strike,7,model5_xgb
num__rule_of_law_est,0.0,2,strike,7,model5_xgb
num__fx_pct_30d_x_instability,0.0,2,strike,7,model5_xgb
num__oil_brent_pct_30d_x_inflation,0.0,2,strike,7,model5_xgb
num__food_cpi_inflation,0.0,2,strike,7,model5_xgb
num__food_cpi_inflation_z,0.0,2,strike,7,model5_xgb
num__energy_cpi_inflation,0.062242147,2,strike,7,model5_xgb
num__energy_cpi_inflation_z,0.06530201,2,strike,7,model5_xgb
num__gini_coef,0.0,2,strike,7,model5_xgb
num__covid_period,0.0,2,strike,7,model5_xgb
num__fx_trend_consistent,0.0,2,strike,7,model5_xgb
num__inflation_accel,0.0,2,strike,7,model5_xgb
num__copper_pct_30d_x_copper_prod,0.0,2,strike,7,model5_xgb
num__gold_pct_30d_x_gold_prod,0.0,2,strike,7,model5_xgb
num__platinum_pct_30d_x_plat_prod,0.0,2,strike,7,model5_xgb
num__oil_brent_pct_30d_x_net_importer,0.0,2,strike,7,model5_xgb
num__month_sin,0.0,2,strike,7,model5_xgb
num__month_cos,0.0,2,strike,7,model5_xgb
num__fao_food_index_yoy,0.0,2,strike,7,model5_xgb
num__fao_cereals_index_yoy,0.0,2,strike,7,model5_xgb
num__fao_oils_index_yoy,0.0,2,strike,7,model5_xgb
num__fao_food_index_yoy_above90,0.0,2,strike,7,model5_xgb
num__fao_cereals_index_yoy_above90,0.0,2,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag1m,0.0,2,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag3m,0.0,2,strike,7,model5_xgb
num__fao_cereals_index_yoy_lag6m,0.0,2,strike,7,model5_xgb
num__fao_food_index_yoy_lag1m,0.0,2,strike,7,model5_xgb
num__fao_food_index_yoy_lag3m,0.0,2,strike,7,model5_xgb
num__fao_food_index_yoy_lag6m,0.0,2,strike,7,model5_xgb
num__fao_oils_index_yoy_lag1m,0.0,2,strike,7,model5_xgb
num__fao_oils_index_yoy_lag3m,0.0,2,strike,7,model5_xgb
num__fao_oils_index_yoy_lag6m,0.0,2,strike,7,model5_xgb
num__fao_cereals_yoy_x_instability,0.0,2,strike,7,model5_xgb
num__fao_food_yoy_x_youth_unemp,0.0,2,strike,7,model5_xgb
num__gta_harmful_events,0.0,2,strike,7,model5_xgb
num__gta_harmful_events_z,0.017786302,2,strike,7,model5_xgb
num__gta_liberalising_events,0.0,2,strike,7,model5_xgb
num__gta_liberalising_events_z,0.0,2,strike,7,model5_xgb
num__gta_30d_count,0.0,2,strike,7,model5_xgb
num__gta_30d_count_z,0.0,2,strike,7,model5_xgb
num__gta_90d_count,0.0,2,strike,7,model5_xgb
num__gta_90d_count_z,0.0,2,strike,7,model5_xgb
num__fx_pct_7d,0.00059202436,2,strike,7,model6_xgb_nolag
num__fx_pct_30d,0.008801328,2,strike,7,model6_xgb_nolag
num__fx_pct_90d,0.0,2,strike,7,model6_xgb_nolag
num__fx_vol_7d,0.00939223,2,strike,7,model6_xgb_nolag
num__fx_vol_30d,0.004430515,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_14d,0.0,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d,0.014799005,2,strike,7,model6_xgb_nolag
num__yield_us10y,0.003211173,2,strike,7,model6_xgb_nolag
num__fx_pct_30d_z,0.0011415586,2,strike,7,model6_xgb_nolag
num__fx_vol_30d_z,0.094605476,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_z,0.0016652616,2,strike,7,model6_xgb_nolag
num__copper_pct_30d,0.0016198754,2,strike,7,model6_xgb_nolag
num__copper_pct_90d,0.0,2,strike,7,model6_xgb_nolag
num__copper_vol_30d,0.0,2,strike,7,model6_xgb_nolag
num__gold_pct_30d,0.013584325,2,strike,7,model6_xgb_nolag
num__gold_vol_30d,0.019901877,2,strike,7,model6_xgb_nolag
num__platinum_pct_30d,0.0434877,2,strike,7,model6_xgb_nolag
num__silver_pct_30d,0.0,2,strike,7,model6_xgb_nolag
num__natgas_pct_30d,0.009683364,2,strike,7,model6_xgb_nolag
num__vix_level,0.0,2,strike,7,model6_xgb_nolag
num__vix_pct_30d,0.005056598,2,strike,7,model6_xgb_nolag
num__vix_7d_ma,0.0052951495,2,strike,7,model6_xgb_nolag
num__dxy_level,0.026244469,2,strike,7,model6_xgb_nolag
num__dxy_pct_30d,0.0,2,strike,7,model6_xgb_nolag
num__dxy_vol_30d,0.0023691005,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag30d,0.013597094,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag60d,0.024006767,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_lag90d,0.04469678,2,strike,7,model6_xgb_nolag
num__vix_pct_30d_lag30d,0.0,2,strike,7,model6_xgb_nolag
num__vix_pct_30d_lag60d,0.0,2,strike,7,model6_xgb_nolag
num__fx_pct_30d_lag30d,0.051455148,2,strike,7,model6_xgb_nolag
num__fx_pct_30d_lag60d,0.0,2,strike,7,model6_xgb_nolag
num__gdp_growth,0.0,2,strike,7,model6_xgb_nolag
num__gdp_per_capita_growth,0.0,2,strike,7,model6_xgb_nolag
num__inflation_cpi_yoy,0.0,2,strike,7,model6_xgb_nolag
num__inflation_cpi_yoy_z,0.0,2,strike,7,model6_xgb_nolag
num__unemployment_total,0.0,2,strike,7,model6_xgb_nolag
num__unemployment_youth,0.0,2,strike,7,model6_xgb_nolag
num__unemployment_sa,0.03477249,2,strike,7,model6_xgb_nolag
num__unemployment_rate,0.0,2,strike,7,model6_xgb_nolag
num__unemployment_rate_z,0.055944327,2,strike,7,model6_xgb_nolag
num__political_stability_est,0.0,2,strike,7,model6_xgb_nolag
num__voice_accountability_est,0.0,2,strike,7,model6_xgb_nolag
num__government_effectiveness_est,0.0,2,strike,7,model6_xgb_nolag
num__rule_of_law_est,0.0,2,strike,7,model6_xgb_nolag
num__fx_pct_30d_x_instability,0.037372865,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_inflation,0.006259687,2,strike,7,model6_xgb_nolag
num__food_cpi_inflation,0.036820043,2,strike,7,model6_xgb_nolag
num__food_cpi_inflation_z,0.019741025,2,strike,7,model6_xgb_nolag
num__energy_cpi_inflation,0.034676168,2,strike,7,model6_xgb_nolag
num__energy_cpi_inflation_z,0.025730768,2,strike,7,model6_xgb_nolag
num__gini_coef,0.0,2,strike,7,model6_xgb_nolag
num__covid_period,0.0,2,strike,7,model6_xgb_nolag
num__fx_trend_consistent,0.037513014,2,strike,7,model6_xgb_nolag
num__inflation_accel,0.0,2,strike,7,model6_xgb_nolag
num__copper_pct_30d_x_copper_prod,0.0,2,strike,7,model6_xgb_nolag
num__gold_pct_30d_x_gold_prod,0.0,2,strike,7,model6_xgb_nolag
num__platinum_pct_30d_x_plat_prod,0.0,2,strike,7,model6_xgb_nolag
num__oil_brent_pct_30d_x_net_importer,0.0,2,strike,7,model6_xgb_nolag
num__month_sin,0.0,2,strike,7,model6_xgb_nolag
num__month_cos,0.068234906,2,strike,7,model6_xgb_nolag
num__fao_food_index_yoy,0.06095161,2,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy,0.0,2,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy,0.0,2,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_above90,0.0,2,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_above90,0.0,2,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag1m,0.061708614,2,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag3m,0.03471586,2,strike,7,model6_xgb_nolag
num__fao_cereals_index_yoy_lag6m,0.0,2,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag1m,0.0,2,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag3m,0.0,2,strike,7,model6_xgb_nolag
num__fao_food_index_yoy_lag6m,0.0,2,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag1m,0.0,2,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag3m,0.0,2,strike,7,model6_xgb_nolag
num__fao_oils_index_yoy_lag6m,0.0,2,strike,7,model6_xgb_nolag
num__fao_cereals_yoy_x_instability,0.0,2,strike,7,model6_xgb_nolag
num__fao_food_yoy_x_youth_unemp,0.0,2,strike,7,model6_xgb_nolag
num__gta_harmful_events,0.0,2,strike,7,model6_xgb_nolag
num__gta_harmful_events_z,0.0075564925,2,strike,7,model6_xgb_nolag
num__gta_liberalising_events,0.0,2,strike,7,model6_xgb_nolag
num__gta_liberalising_events_z,0.028254796,2,strike,7,model6_xgb_nolag
num__gta_30d_count,0.0,2,strike,7,model6_xgb_nolag
num__gta_30d_count_z,0.024974855,2,strike,7,model6_xgb_nolag
num__gta_90d_count,0.02513568,2,strike,7,model6_xgb_nolag
num__gta_90d_count_z,0.0,2,strike,7,model6_xgb_nolag
