iso3,date,event_binary,n_events,n_articles,max_confidence,has_movement,disruption_types,gdelt_n_raw,coverage_flag
AFG,2018-01-02,1,1,1,0.8,0,protests,1,low
AFG,2018-01-16,1,1,1,0.861,0,protests,1,low
AFG,2018-01-18,0,0,0,0.0,0,,1,low
AFG,2018-01-21,1,1,1,0.615,0,protests,1,low
AFG,2018-01-23,1,1,1,0.89,0,protests,1,low
AFG,2018-01-25,0,0,0,0.0,0,,1,low
AFG,2018-01-29,0,0,0,0.0,0,,1,low
ALB,2018-01-04,0,0,0,0.0,0,,1,low
ALB,2018-01-08,0,0,0,0.0,0,,1,low
ALB,2018-01-09,1,1,1,0.8,1,protests,1,low
ALB,2018-01-12,1,1,1,0.9,1,protests,1,low
ALB,2018-01-13,1,1,1,0.7,0,protests,1,low
ALB,2018-01-14,0,0,0,0.0,0,,1,low
ALB,2018-01-18,0,0,0,0.0,0,,2,low
ALB,2018-01-19,1,1,1,0.7,0,protests,1,low
ALB,2018-01-20,1,1,1,0.7,1,protests,2,low
ALB,2018-01-21,1,1,2,0.75,1,protests,1,low
ALB,2018-01-23,1,1,1,0.788,1,protests,1,low
ALB,2018-01-25,0,0,0,0.0,0,,2,low
ALB,2018-01-26,0,0,0,0.0,0,,3,medium
ALB,2018-01-27,1,1,15,0.919,1,protests,5,medium
ALB,2018-01-28,1,1,15,0.919,1,protests,2,low
ALB,2018-01-29,1,1,15,0.919,1,protests,2,low
ALB,2018-01-30,1,2,16,0.919,1,protests,2,low
ARE,2018-01-15,1,1,1,0.7,0,protests,1,low
ARE,2018-01-18,0,0,0,0.0,0,,1,low
ARG,2018-01-05,0,0,0,0.0,0,,1,low
ARG,2018-01-09,0,0,0,0.0,0,,2,low
ARM,2018-01-08,0,0,0,0.0,0,,1,low
ARM,2018-01-10,1,1,1,0.7,0,protests,1,low
ARM,2018-01-12,0,0,0,0.0,0,,1,low
ARM,2018-01-15,1,1,1,0.92,0,protests,1,low
ARM,2018-01-16,1,1,1,0.945,0,labour_strike,3,medium
ARM,2018-01-24,0,0,0,0.0,0,,1,low
AUS,2018-01-02,1,2,5,0.9,1,protests,5,medium
AUS,2018-01-03,1,1,2,0.7,0,protests,3,medium
AUS,2018-01-04,1,1,1,0.8,0,protests,2,low
AUS,2018-01-06,1,1,1,0.7,0,protests,2,low
AUS,2018-01-07,0,0,0,0.0,0,,1,low
AUS,2018-01-08,1,1,2,1.0,0,protests,3,medium
AUS,2018-01-09,1,2,3,0.966,1,protests,9,medium
AUS,2018-01-10,1,1,2,0.9,1,labour_strike,5,medium
AUS,2018-01-12,1,3,5,0.9,1,"labour_strike,protests",3,medium
AUS,2018-01-13,1,2,4,0.9,1,"labour_strike,protests",2,low
AUS,2018-01-14,1,1,2,0.9,0,protests,1,low
AUS,2018-01-15,1,2,3,0.9,0,protests,1,low
AUS,2018-01-16,1,1,2,0.991,1,labour_strike,10,high
AUS,2018-01-17,1,2,2,0.9,1,protests,2,low
AUS,2018-01-18,0,0,0,0.0,0,,6,medium
AUS,2018-01-20,0,0,0,0.0,0,,2,low
AUS,2018-01-21,1,1,3,0.8,1,protests,5,medium
AUS,2018-01-22,0,0,0,0.0,0,,7,medium
AUS,2018-01-23,0,0,0,0.0,0,,6,medium
AUS,2018-01-24,1,1,47,0.984,1,labour_strike,12,high
AUS,2018-01-25,1,2,48,0.984,1,labour_strike,5,medium
AUS,2018-01-26,1,2,70,0.984,1,"labour_strike,protests",28,high
AUS,2018-01-27,1,1,47,0.984,1,labour_strike,3,medium
AUS,2018-01-28,1,1,47,0.984,1,labour_strike,2,low
AUS,2018-01-29,1,2,48,0.984,1,"labour_strike,protests",4,medium
AUS,2018-01-30,1,2,49,0.984,1,"labour_strike,protests",6,medium
AUS,2018-01-31,1,4,51,0.984,1,"labour_strike,protests",5,medium
AUT,2018-01-13,1,1,7,0.9,1,protests,7,medium
AUT,2018-01-14,0,0,0,0.0,0,,2,low
AUT,2018-01-18,0,0,0,0.0,0,,1,low
AUT,2018-01-27,0,0,0,0.0,0,,1,low
BEL,2018-01-10,1,1,1,0.8,0,labour_strike,1,low
BEL,2018-01-13,1,2,2,0.7,0,"labour_strike,protests",1,low
BEL,2018-01-16,1,1,1,0.893,0,protests,1,low
BEL,2018-01-21,0,0,0,0.0,0,,1,low
BEL,2018-01-22,0,0,0,0.0,0,,1,low
BEL,2018-01-26,1,1,1,0.95,0,protests,1,low
BEN,2018-01-05,1,1,1,0.8,0,labour_strike,1,low
BEN,2018-01-17,0,0,0,0.0,0,,1,low
BEN,2018-01-18,0,0,0,0.0,0,,1,low
BEN,2018-01-25,0,0,0,0.0,0,,1,low
BEN,2018-01-29,1,1,1,0.991,0,protests,1,low
BGD,2018-01-01,0,0,0,0.0,0,,1,low
BGD,2018-01-03,0,0,0,0.0,0,,1,low
BGD,2018-01-04,0,0,0,0.0,0,,1,low
BGD,2018-01-05,1,1,2,0.8,1,protests,3,medium
BGD,2018-01-06,0,0,0,0.0,0,,2,low
BGD,2018-01-08,1,1,1,0.9,0,labour_strike,1,low
BGD,2018-01-09,0,0,0,0.0,0,,2,low
BGD,2018-01-10,0,0,0,0.0,0,,1,low
BGD,2018-01-12,1,1,1,0.9,0,protests,2,low
BGD,2018-01-14,1,1,1,0.8,0,protests,3,medium
BGD,2018-01-15,1,1,1,0.8,0,protests,1,low
BGD,2018-01-16,0,0,0,0.0,0,,1,low
BGD,2018-01-17,0,0,0,0.0,0,,1,low
BGD,2018-01-18,1,1,1,0.6,1,protests,1,low
BGD,2018-01-19,1,2,7,0.819,1,protests,4,medium
BGD,2018-01-20,0,0,0,0.0,0,,3,medium
BGD,2018-01-22,0,0,0,0.0,0,,1,low
BGD,2018-01-23,0,0,0,0.0,0,,2,low
BGD,2018-01-25,1,1,1,0.78,1,protests,2,low
BGD,2018-01-26,1,1,3,0.957,1,protests,2,low
BGD,2018-01-28,1,2,4,0.957,1,protests,2,low
BGD,2018-01-29,1,1,3,0.957,1,protests,2,low
BGD,2018-01-31,0,0,0,0.0,0,,2,low
BGR,2018-01-04,1,1,1,0.8,0,protests,1,low
BGR,2018-01-06,0,0,0,0.0,0,,1,low
BHR,2018-01-25,1,1,1,0.7,0,protests,2,low
BHS,2018-01-12,1,1,1,0.7,0,protests,1,low
BLZ,2018-01-06,1,1,1,0.8,0,labour_strike,1,low
BLZ,2018-01-08,0,0,0,0.0,0,,1,low
BLZ,2018-01-17,0,0,0,0.0,0,,1,low
BLZ,2018-01-20,1,1,1,0.776,0,labour_strike,1,low
BLZ,2018-01-22,0,0,0,0.0,0,,1,low
BLZ,2018-01-28,0,0,0,0.0,0,,1,low
BOL,2018-01-03,0,0,0,0.0,0,,1,low
BOL,2018-01-04,0,0,0,0.0,0,,1,low
BRA,2018-01-10,0,0,0,0.0,0,,3,medium
BRA,2018-01-27,0,0,0,0.0,0,,1,low
BRB,2018-01-13,0,0,0,0.0,0,,1,low
BRB,2018-01-23,0,0,0,0.0,0,,1,low
BRN,2018-01-10,0,0,0,0.0,0,,1,low
BWA,2018-01-23,0,0,0,0.0,0,,1,low
CAN,2018-01-02,1,1,3,0.7,1,protests,6,medium
CAN,2018-01-04,0,0,0,0.0,0,,2,low
CAN,2018-01-05,1,2,4,0.9,1,protests,7,medium
CAN,2018-01-06,1,3,5,0.9,1,"labour_strike,protests",5,medium
CAN,2018-01-08,1,1,2,0.8,0,labour_strike,4,medium
CAN,2018-01-09,1,3,23,1.0,1,"labour_strike,protests",7,medium
CAN,2018-01-10,1,1,20,1.0,1,protests,24,high
CAN,2018-01-12,1,2,21,1.0,1,"labour_strike,protests",7,medium
CAN,2018-01-13,0,0,0,0.0,0,,4,medium
CAN,2018-01-14,0,0,0,0.0,0,,9,medium
CAN,2018-01-15,1,2,2,0.8,1,"labour_strike,protests",17,high
CAN,2018-01-16,1,1,1,0.8,0,labour_strike,3,medium
CAN,2018-01-17,1,1,1,0.8,0,labour_strike,3,medium
CAN,2018-01-18,1,1,26,0.963,1,protests,9,medium
CAN,2018-01-19,1,1,26,0.963,1,protests,5,medium
CAN,2018-01-20,1,1,26,0.963,1,protests,9,medium
CAN,2018-01-21,1,1,26,0.963,1,protests,4,medium
CAN,2018-01-22,1,2,27,0.963,1,protests,5,medium
CAN,2018-01-23,1,2,2,0.8,0,protests,7,medium
CAN,2018-01-24,1,2,2,0.893,0,"labour_strike,protests",4,medium
CAN,2018-01-25,1,1,1,0.8,0,protests,1,low
CAN,2018-01-26,1,1,1,0.6,0,labour_strike,3,medium
CAN,2018-01-27,0,0,0,0.0,0,,1,low
CAN,2018-01-28,1,2,3,0.956,1,protests,1,low
CAN,2018-01-29,1,2,2,0.8,0,protests,8,medium
CAN,2018-01-30,1,1,1,0.7,0,labour_strike,3,medium
CHE,2018-01-04,0,0,0,0.0,0,,1,low
CHE,2018-01-08,0,0,0,0.0,0,,1,low
CHE,2018-01-14,1,1,1,0.8,1,protests,1,low
CHE,2018-01-23,1,3,16,0.934,1,"labour_strike,protests",2,low
CHE,2018-01-24,1,1,7,0.919,1,protests,10,high
CHE,2018-01-25,1,1,7,0.919,1,protests,3,medium
CHE,2018-01-26,1,1,7,0.919,1,protests,1,low
CHE,2018-01-29,1,1,1,0.607,0,labour_strike,1,low
CHE,2018-01-30,1,1,1,0.731,0,labour_strike,1,low
CHL,2018-01-16,1,1,6,0.8,0,protests,4,medium
CHL,2018-01-17,0,0,0,0.0,0,,1,low
CHL,2018-01-18,0,0,0,0.0,0,,1,low
CHN,2018-01-05,0,0,0,0.0,0,,1,low
CHN,2018-01-06,0,0,0,0.0,0,,1,low
CHN,2018-01-08,0,0,0,0.0,0,,1,low
CHN,2018-01-10,0,0,0,0.0,0,,1,low
CHN,2018-01-12,0,0,0,0.0,0,,2,low
CHN,2018-01-13,0,0,0,0.0,0,,1,low
CHN,2018-01-16,0,0,0,0.0,0,,1,low
CHN,2018-01-17,1,1,1,0.7,0,labour_strike,3,medium
CHN,2018-01-23,0,0,0,0.0,0,,2,low
CHN,2018-01-24,1,1,1,0.7,0,labour_strike,1,low
CMR,2018-01-09,1,1,1,0.9,0,protests,1,low
CMR,2018-01-29,1,1,1,0.7,0,protests,1,low
COD,2018-01-01,1,1,20,0.9,1,protests,16,high
COD,2018-01-02,1,1,20,0.9,1,protests,4,medium
COD,2018-01-03,1,1,20,0.9,1,protests,1,low
COD,2018-01-04,0,0,0,0.0,0,,1,low
COD,2018-01-05,0,0,0,0.0,0,,3,medium
COD,2018-01-06,0,0,0,0.0,0,,3,medium
COD,2018-01-07,0,0,0,0.0,0,,1,low
COD,2018-01-08,0,0,0,0.0,0,,1,low
COD,2018-01-09,1,1,2,0.9,1,protests,1,low
COD,2018-01-10,1,1,2,0.9,1,protests,1,low
COD,2018-01-11,0,0,0,0.0,0,,1,low
COD,2018-01-16,0,0,0,0.0,0,,2,low
COD,2018-01-17,0,0,0,0.0,0,,1,low
COD,2018-01-21,1,1,20,0.965,1,protests,7,medium
COD,2018-01-22,1,1,20,0.965,1,protests,8,medium
COD,2018-01-23,1,1,20,0.965,1,protests,2,low
COD,2018-01-24,1,1,20,0.965,1,protests,1,low
COD,2018-01-27,0,0,0,0.0,0,,3,medium
COD,2018-01-30,0,0,0,0.0,0,,1,low
COL,2018-01-08,0,0,0,0.0,0,,1,low
COL,2018-01-12,0,0,0,0.0,0,,1,low
COL,2018-01-22,1,1,2,0.7,0,labour_strike,1,low
COL,2018-01-27,1,2,8,0.9,0,"labour_strike,protests",1,low
COL,2018-01-29,1,2,8,0.9,0,"labour_strike,protests",5,medium
COL,2018-01-30,1,1,6,0.9,0,protests,3,medium
CRI,2018-01-17,0,0,0,0.0,0,,1,low
CUB,2018-01-02,0,0,0,0.0,0,,1,low
CYP,2018-01-25,0,0,0,0.0,0,,1,low
DEU,2018-01-05,0,0,0,0.0,0,,4,medium
DEU,2018-01-06,0,0,0,0.0,0,,2,low
DEU,2018-01-07,0,0,0,0.0,0,,2,low
DEU,2018-01-08,1,1,12,1.0,1,labour_strike,5,medium
DEU,2018-01-09,1,1,12,1.0,1,labour_strike,3,medium
DEU,2018-01-10,1,1,12,1.0,1,labour_strike,2,low
DEU,2018-01-12,1,1,12,1.0,1,labour_strike,1,low
DEU,2018-01-14,1,1,12,1.0,1,labour_strike,1,low
DEU,2018-01-16,1,1,12,1.0,1,labour_strike,3,medium
DEU,2018-01-23,1,1,2,0.8,1,protests,1,low
DEU,2018-01-24,1,1,5,0.983,1,labour_strike,2,low
DEU,2018-01-27,1,3,8,0.983,1,"labour_strike,protests",4,medium
DEU,2018-01-28,1,1,5,0.983,1,labour_strike,1,low
DEU,2018-01-29,1,2,6,0.983,1,"labour_strike,protests",2,low
DEU,2018-01-30,1,1,5,0.983,1,labour_strike,1,low
DEU,2018-01-31,1,2,6,0.983,1,"labour_strike,protests",4,medium
DNK,2018-01-27,0,0,0,0.0,0,,1,low
DZA,2018-01-03,1,1,2,0.9,0,protests,1,low
DZA,2018-01-04,0,0,0,0.0,0,,1,low
DZA,2018-01-08,1,1,1,0.9,0,labour_strike,1,low
DZA,2018-01-15,1,1,1,0.9,0,labour_strike,1,low
DZA,2018-01-23,0,0,0,0.0,0,,1,low
DZA,2018-01-26,0,0,0,0.0,0,,1,low
ECU,2018-01-23,0,0,0,0.0,0,,1,low
ECU,2018-01-24,0,0,0,0.0,0,,1,low
ECU,2018-01-27,0,0,0,0.0,0,,1,low
EGY,2018-01-06,1,1,3,0.9,0,protests,2,low
EGY,2018-01-07,1,2,4,0.9,0,protests,1,low
EGY,2018-01-08,1,1,3,0.9,0,protests,1,low
EGY,2018-01-14,0,0,0,0.0,0,,1,low
EGY,2018-01-24,1,1,1,0.7,0,protests,1,low
EGY,2018-01-25,1,1,1,0.713,1,protests,1,low
EGY,2018-01-28,1,1,4,0.765,1,protests,1,low
EGY,2018-01-30,1,1,4,0.765,1,protests,2,low
EGY,2018-01-31,1,1,4,0.765,1,protests,3,medium
ESP,2018-01-05,0,0,0,0.0,0,,1,low
ESP,2018-01-09,0,0,0,0.0,0,,1,low
ESP,2018-01-26,0,0,0,0.0,0,,1,low
ESP,2018-01-31,0,0,0,0.0,0,,1,low
ETH,2018-01-08,1,1,1,0.9,0,protests,1,low
FIN,2018-01-02,0,0,0,0.0,0,,1,low
FIN,2018-01-03,0,0,0,0.0,0,,2,low
FIN,2018-01-04,1,1,1,0.8,0,labour_strike,1,low
FIN,2018-01-15,1,1,2,0.9,1,labour_strike,2,low
FIN,2018-01-20,1,1,2,0.9,1,labour_strike,1,low
FIN,2018-01-30,0,0,0,0.0,0,,1,low
FIN,2018-01-31,0,0,0,0.0,0,,1,low
FJI,2018-01-02,0,0,0,0.0,0,,1,low
FJI,2018-01-03,1,1,2,0.9,0,labour_strike,1,low
FJI,2018-01-12,1,1,1,0.8,0,labour_strike,1,low
FJI,2018-01-13,0,0,0,0.0,0,,1,low
FJI,2018-01-14,1,1,1,0.9,0,protests,1,low
FJI,2018-01-15,0,0,0,0.0,0,,1,low
FJI,2018-01-20,0,0,0,0.0,0,,1,low
FJI,2018-01-22,1,1,2,0.866,0,labour_strike,1,low
FJI,2018-01-23,1,1,2,0.866,0,labour_strike,1,low
FJI,2018-01-26,0,0,0,0.0,0,,1,low
FRA,2018-01-03,1,1,2,0.9,0,protests,1,low
FRA,2018-01-04,1,1,2,0.9,0,protests,2,low
FRA,2018-01-05,1,3,7,0.9,0,"labour_strike,protests",5,medium
FRA,2018-01-06,1,2,6,0.9,0,"labour_strike,protests",2,low
FRA,2018-01-08,1,1,2,0.7,0,labour_strike,1,low
FRA,2018-01-09,1,1,2,0.7,0,labour_strike,1,low
FRA,2018-01-10,1,1,1,0.8,0,protests,1,low
FRA,2018-01-12,1,2,3,0.8,0,"labour_strike,protests",2,low
FRA,2018-01-13,1,1,2,0.7,0,labour_strike,1,low
FRA,2018-01-17,1,1,5,0.8,0,protests,3,medium
FRA,2018-01-18,1,1,5,0.8,0,protests,2,low
FRA,2018-01-22,1,1,1,0.739,0,labour_strike,2,low
FRA,2018-01-23,0,0,0,0.0,0,,7,medium
FRA,2018-01-24,0,0,0,0.0,0,,1,low
FRA,2018-01-25,1,3,15,0.9,1,protests,6,medium
FRA,2018-01-26,1,2,14,0.9,1,protests,11,high
FRA,2018-01-27,0,0,0,0.0,0,,14,high
FRA,2018-01-28,0,0,0,0.0,0,,12,high
FRA,2018-01-29,0,0,0,0.0,0,,5,medium
FRA,2018-01-30,1,1,1,0.943,0,labour_strike,4,medium
FRA,2018-01-31,0,0,0,0.0,0,,3,medium
GBR,2018-01-01,1,1,1,0.8,0,protests,2,low
GBR,2018-01-02,0,0,0,0.0,0,,4,medium
GBR,2018-01-03,1,2,3,0.7,1,protests,13,high
GBR,2018-01-04,0,0,0,0.0,0,,5,medium
GBR,2018-01-05,1,4,12,1.0,1,"labour_strike,protests",8,medium
GBR,2018-01-06,1,2,10,1.0,1,labour_strike,1,low
GBR,2018-01-07,1,3,14,1.0,1,"labour_strike,protests",4,medium
GBR,2018-01-08,1,4,15,1.0,1,"labour_strike,protests",16,high
GBR,2018-01-09,1,4,15,1.0,1,"labour_strike,protests",6,medium
GBR,2018-01-10,1,1,1,0.8,0,protests,7,medium
GBR,2018-01-12,1,5,21,1.0,1,"labour_strike,protests",8,medium
GBR,2018-01-13,1,3,18,1.0,1,"labour_strike,protests",11,high
GBR,2018-01-14,1,2,17,0.9,1,protests,2,low
GBR,2018-01-15,1,3,18,0.9,1,protests,6,medium
GBR,2018-01-16,1,3,18,0.9,1,protests,8,medium
GBR,2018-01-17,1,5,20,0.9,1,"labour_strike,protests",5,medium
GBR,2018-01-18,1,2,2,0.8,0,"labour_strike,protests",5,medium
GBR,2018-01-19,1,4,5,0.957,1,"labour_strike,protests",5,medium
GBR,2018-01-20,1,6,15,1.0,1,"labour_strike,protests",4,medium
GBR,2018-01-21,1,2,10,1.0,1,protests,5,medium
GBR,2018-01-22,1,4,13,1.0,1,protests,10,high
GBR,2018-01-23,0,0,0,0.0,0,,3,medium
GBR,2018-01-24,1,4,4,0.9,0,protests,9,medium
GBR,2018-01-25,0,0,0,0.0,0,,4,medium
GBR,2018-01-26,1,4,21,0.99,1,"labour_strike,protests",7,medium
GBR,2018-01-27,1,3,20,0.99,1,protests,12,high
GBR,2018-01-28,1,3,20,0.99,1,protests,2,low
GBR,2018-01-29,1,3,20,0.99,1,"labour_strike,protests",17,high
GBR,2018-01-30,1,3,20,0.99,1,"labour_strike,protests",7,medium
GBR,2018-01-31,1,1,1,0.6,0,protests,7,medium
GEO,2018-01-03,1,1,1,0.8,0,protests,1,low
GEO,2018-01-07,0,0,0,0.0,0,,1,low
GEO,2018-01-10,0,0,0,0.0,0,,1,low
GEO,2018-01-20,1,1,1,0.887,0,protests,1,low
GHA,2018-01-02,1,1,1,0.7,0,protests,1,low
GHA,2018-01-03,1,1,1,0.8,0,labour_strike,1,low
GHA,2018-01-07,0,0,0,0.0,0,,1,low
GHA,2018-01-12,1,1,1,0.8,0,protests,2,low
GHA,2018-01-22,1,1,1,0.8,0,protests,1,low
GHA,2018-01-26,0,0,0,0.0,0,,1,low
GHA,2018-01-29,0,0,0,0.0,0,,1,low
GRC,2018-01-05,1,1,1,0.8,0,labour_strike,1,low
GRC,2018-01-08,0,0,0,0.0,0,,1,low
GRC,2018-01-09,1,1,11,0.947,1,protests,2,low
GRC,2018-01-10,1,2,14,0.953,1,"labour_strike,protests",4,medium
GRC,2018-01-12,1,2,14,0.953,1,"labour_strike,protests",4,medium
GRC,2018-01-14,1,2,14,0.953,1,"labour_strike,protests",1,low
GRC,2018-01-15,1,2,14,0.953,1,"labour_strike,protests",3,medium
GRC,2018-01-16,0,0,0,0.0,0,,3,medium
